Provincia,Localidad,Playa,Foto,Resumen,latitude,longitude
Almería,Mojácar,Marina de la Torre,http://www.playas.es/images/atardecer-en-moj%C3%83%C2%A1car-s-220-playa-marina-de-la-torre-18724968.jpg,1.900 metros. 20 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo de Garrucha / Distancia: 2 Km,37.122224,-1.832767
Almería,Mojácar,Venta del Bancal–Las Ventanicas,http://www.playas.es/images/pueblo-indalo-mojacar-almer%C3%83%C2%ADa-s-220-playa-el-cantal-19069440.jpg,2.800 metros. 30 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo de Garrucha / Distancia: 10 Km,37.1004943,-1.847532
Almería,Mojácar,Piedra Villazar,http://www.turisbot.com/images/playa-Piedra-de-Villazar.jpg,Situada en las cercanías del cruce que une las franjas costeras del municipio con su acceso al pueblo. Esta playa debe su nombre a la estructura rocosa enclavada sobre sus arenas,37.1318972,-1.830473
Almería,Mojácar,Descargador,http://www.playas.es/images/paradores-de-mojacar-s-220-playa-el-descargador-336221.jpg,900 metros. 20 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo de Garrucha / Distancia: 6 Km,37.136646,-1.828906
Almería,Níjar,Agua Amarga,http://www.playas.es/images/jmf75227_playa-de-agua-amarga-s-220-playa-aguamarga-7119337.jpg,Su extensión es de 550 metros por 30 metros de ancho. El nivel medio de ocupación es alto. Playa urbana sin paseo marítimo principalmente compuesta por arena dorada.,36.938685,-1.935258
Almería,Níjar,San José,http://www.playas.es/images/dsc_1503-san-jose-s-550-playa-san-jose-1166393.jpg,Su extensión es de 850 metros por 30 metros de ancho. El nivel medio de ocupación es alto. Playa urbana con paseo marítimo. El estado habitual de la mar es aguas tranquilas. Playa con acceso a minusválidos,36.76267,-2.106373
Almería,Almería,Almería,http://www.playas.es/images/-s-220-playa-nueva-almeria-2574177.jpg,"1.500 metros 40 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo de Almería / Distancia: 2,5 Km",36.819927,-2.441359
Almería,Almería,San Miguel de Cabo de Gata,http://www.playas.es/images/atardecer-en-el-cabo-s-220-playa-san-miguel-de-cabo-de-gata-13106585.jpg,2.500 metros 100 metros de anchura. El grado de ocupación de esta playa es alto. Playa perteneciente al Parque Natural Marítimo Terreste de Cabo de Gata-Níjar. ,36.79011,-2.2553
Almería,Roquetas de Mar,Romanilla,http://www.playas.es/images/paseo-mar%C3%83%C2%ADtimo-s-220-playa-la-romanilla-1231413.jpg,1.000 metros 60 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo de Roquetas de Mar ,36.762997,-2.605231
Almería,Roquetas de Mar,La Bajadilla,"http://maps.google.com/maps/api/staticmap?center=36.74,-2.61201&zoom=15&size=220x150&maptype=satellite&sensor=false",1.300 metros 80 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo de Roquetas de Mar ,36.498373,-4.813217
Almería,Roquetas de Mar,Urb. Roquetas,http://www.playas.es/images/roquetas-de-mar-2006-022-s-220-playa-urbanizacion-roquetas-de-mar-86210.jpg,1.500 metros 60 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo de Roquetas de Mar ,36.731146,-2.616874
Almería,Roquetas de Mar,Urb. Playa Serena,http://www.playas.es/images/pya-serena-viento-s-220-playa-serena-6101308.jpg,1.500 metros 50 metros de anchura. El grado de ocupación de esta playa es alto. Playa regenerada.,36.715907,-2.632988
Almería,Roquetas de Mar,Salinas,http://www.playas.es/images/rompeolas-s-220-playa-las-salinas-los-banos-4407119.jpg,2.100 metros 50 metros de anchura. El grado de ocupación de esta playa es medio.,36.758949,-2.606209
Almería,Roquetas de Mar,Aguadulce,http://www.playas.es/images/playa-de-aguadulce-s-220-playa-aguadulce-5067391.jpg,2.500 metros 30 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo de Aguadulce,36.80389,-2.575868
Almería,El Ejido,Poniente,http://www.playas.es/images/playa-almerimar-s-220-playa-almerimar-san-miguel-levante-80483.jpg,Su extensión es de 4.000 metros por 70 metros de ancho. El nivel medio de ocupación es alto. Playa urbana con paseo marítimo,36.70655,-2.820162
Almería,El Ejido,San Miguel de Levante,http://www.playas.es/images/playa-almerimar-s-220-playa-almerimar-san-miguel-levante-80483.jpg,Su extensión es de 4.000 metros por 70 metros de ancho. El nivel medio de ocupación es alto. Playa urbana con paseo marítimo,36.70655,-2.820160
Almería,El Ejido,Balerma,http://www.playas.es/images/balerma-abril-de-2006-s-220-playa-balerma-21721035.jpg,2.000 metros 40 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo de Almerimar / Distancia: 9 Km,36.724525,-2.881928
Almería,El Ejido,San Miguel,http://www.playas.es/images/almerimar--s-220-playa-almerimar-san-miguel-poniente-548043.jpg,Su extensión es de 2.000 metros por 50 metros de ancho. El nivel medio de ocupación es medio. Playa semiurbana con paseo marítimo,36.689534,-2.781132
Almería,Adra,San Nicolás,http://www.playas.es/images/playa-de-adra-s-220-playa-san-nicolas-18460102.jpg,600 metros 35 metros de anchura. El grado de ocupación de esta playa es alto. Puerto Deportivo de Adra,36.741842,-3.021231
Almería,Adra,Sirena Loca,http://www.canfandalucia.org.es/public/mediaExchange/Fotos/Playa%20Sirena%20Loca8.jpg,Comenzó a formarse tras la construcción del Puerto de Adra en 1911 y discurre paralela al Paseo Marítimo de Poniente. Se trata de una extensa playa muy frecuentada por los bañistas. Destaca por ser una de las más limpias de la zona,36.746735,-3.02848389
Almería,Adra,Censo,http://www.playas.es/images/cazando-el-amanecer-s-220-playa-censo-7217361.jpg,500 metros 40 metros de anchura. El grado de ocupación de esta playa es bajo. Playa regenerada.,36.744361,-2.995879
Granada,Motril,Carchuna,http://www.playas.es/images/la-mejor-paella-s-220-playa-carchuna-490837.jpg,3000 m. metros 40 m. metros de anchura. El grado de ocupación de esta playa es medio. Club náutico de Motril / Distancia: 15 Km.,36.695402,-3.42512
Granada,Motril,Calahonda,"http://maps.google.com/maps/api/staticmap?center=36.701,-3.41648&zoom=15&size=220x150&maptype=satellite&sensor=false","1.200 metros. 40 metros de anchura. El grado de ocupación de esta playa es alto. Club náutico de Motril / Distancia: 16,5 Km.",36.74651,-3.872682
Granada,Motril,Playa Granada,http://www.playas.es/images/playa-granada-s-220-playa-granada-57237.jpg,1.450 metros 20 metros de anchura. El grado de ocupación de esta playa es medio. Club náutico de Motril / Distancia: 4 Km.,36.714824,-3.551076
Málaga,Algarrobo,Algarrobo Costa,http://www.playas.es/images/costa-del-sol-algarrobo-+-torrox--s-220-playa-algarrobo-6251581.jpg,800 metros 20 metros de anchura. El grado de ocupación de esta playa es alto.,36.744782,-4.048487
Málaga,Torrox,Ferrara,http://www.playas.es/images/el-morche-sunset-s-220-playa-ferrara-las-lindes-3855793.jpg,1.200 metros 30 metros de anchura. El grado de ocupación de esta playa es alto. Protección Civil recorre periódicamente la playa en verano. ,36.730888,-3.973213
Málaga,Nerja,Burriana,http://www.playas.es/images/antigua-fabrica-de-azucar-s-220-playa-burriana-5189926.jpg,800 metros 40 metros de anchura. El grado de ocupación de esta playa es alto. Protección Civil recorre la playa durante el verano.,36.75153,-3.861556
Málaga,Nerja,Torrecilla,http://www.playas.es/images/nerja-s-220-playa-la-torrecilla-1183863.jpg,300 metros 40 metros de anchura. El grado de ocupación de esta playa es alto. Protección Civil recorre la playa durante el verano. ,36.741601,-3.886975
Málaga,Vélez Málaga,Benajarafe,http://www.playas.es/images/playa-de-benajarafe-2006-s-220-playa-benajarafe-2294061.jpg,1.600 metros 30 metros de anchura. El grado de ocupación de esta playa es medio.,36.715452,-4.197326
Málaga,Vélez Málaga,Torre del Mar,http://www.playas.es/images/paseo-torre-del-mar-s-220-playa-torre-del-mar-16490273.jpg,2.000 metros 40 metros de anchura. El grado de ocupación de esta playa es alto.,36.735161,-4.095027
